Datasource,Campaign,Daily,Clicks,Impressions
Google Ads,Adventmarkt Touristik,11/14/19,147,80351
Google Ads,Adventmarkt Touristik,11/17/19,107,36361
Google Ads,Adventmarkt Touristik,11/20/19,161,27841
Google Ads,Adventmarkt Touristik,11/23/19,123,37374
Google Ads,Adventmarkt Touristik,11/26/19,145,29114
Google Ads,Adventmarkt Touristik,11/29/19,80,33036
Google Ads,Adventmarkt Touristik,12/02/19,82,26557
Google Ads,Adventmarkt Touristik,12/05/19,253,53365
Google Ads,Adventmarkt Touristik,12/08/19,256,59663
Google Ads,Adventmarkt Touristik,12/11/19,195,48059
Google Ads,Adventmarkt Touristik,12/14/19,38,29950
Google Ads,Adventmarkt Touristik,12/17/19,108,53673
Google Ads,Adventmarkt Touristik,12/20/19,22,52496
Google Ads,Adventmarkt Touristik,12/23/19,7,11646
Google Ads,GDN_Retargeting,01/01/19,32,17079
Google Ads,GDN_Retargeting,01/04/19,20,19386
Google Ads,GDN_Retargeting,01/07/19,26,36126
Google Ads,GDN_Retargeting,01/10/19,30,35510
Google Ads,GDN_Retargeting,01/13/19,54,34110
Google Ads,GDN_Retargeting,01/16/19,26,21059
Google Ads,GDN_Retargeting,01/19/19,29,18064
Google Ads,GDN_Retargeting,01/22/19,31,31546
Google Ads,GDN_Retargeting,01/25/19,38,34793
Google Ads,GDN_Retargeting,01/28/19,45,47559
Google Ads,GDN_Retargeting,01/31/19,30,18275
Google Ads,GDN_Retargeting,02/03/19,45,38017
Google Ads,GDN_Retargeting,02/06/19,36,38550
Google Ads,GDN_Retargeting,02/09/19,31,25140
Google Ads,GDN_Retargeting,02/12/19,47,46305
Google Ads,GDN_Retargeting,02/15/19,44,46100
Google Ads,GDN_Retargeting,02/18/19,51,42210
Google Ads,GDN_Retargeting,02/21/19,54,46843
Google Ads,GDN_Retargeting,02/24/19,55,49994
Google Ads,GDN_Retargeting,02/27/19,62,48015
Google Ads,GDN_Retargeting,03/02/19,50,35010
Google Ads,GDN_Retargeting,03/05/19,50,44765
Google Ads,GDN_Retargeting,03/08/19,35,41312
Google Ads,GDN_Retargeting,03/11/19,59,46469
Google Ads,GDN_Retargeting,03/14/19,52,35284
Google Ads,GDN_Retargeting,03/17/19,45,35480
Google Ads,GDN_Retargeting,03/20/19,52,42515
Google Ads,GDN_Retargeting,03/23/19,43,28574
Google Ads,GDN_Retargeting,03/26/19,46,31667
Google Ads,GDN_Retargeting,03/29/19,45,32975
Google Ads,GDN_Retargeting,04/01/19,57,42177
Google Ads,GDN_Retargeting,04/04/19,47,55274
Google Ads,GDN_Retargeting,04/07/19,48,29501
Google Ads,GDN_Retargeting,04/10/19,57,44827
Google Ads,GDN_Retargeting,04/13/19,49,39489
Google Ads,GDN_Retargeting,04/16/19,47,39552
Google Ads,GDN_Retargeting,04/19/19,50,41981
Google Ads,GDN_Retargeting,04/22/19,48,36554
Google Ads,GDN_Retargeting,04/25/19,44,38772
Google Ads,GDN_Retargeting,04/28/19,52,42432
Google Ads,GDN_Retargeting,05/01/19,54,38587
Google Ads,GDN_Retargeting,05/04/19,49,37430
Google Ads,GDN_Retargeting,05/07/19,46,36411
Google Ads,GDN_Retargeting,05/15/19,63,51956
Google Ads,GDN_Retargeting,05/18/19,73,56662
Google Ads,GDN_Retargeting,05/21/19,65,61300
Google Ads,GDN_Retargeting,05/24/19,66,62654
Google Ads,GDN_Retargeting,05/27/19,67,48764
Google Ads,GDN_Retargeting,05/30/19,64,54441
Google Ads,GDN_Retargeting,06/02/19,58,34738
Google Ads,GDN_Retargeting,06/05/19,62,55709
Google Ads,GDN_Retargeting,06/08/19,59,42038
Google Ads,GDN_Retargeting,06/11/19,59,46484
Google Ads,GDN_Retargeting,06/14/19,55,41523
Google Ads,GDN_Retargeting,06/17/19,60,43599
Google Ads,GDN_Retargeting,06/20/19,60,44488
Google Ads,GDN_Retargeting,06/23/19,52,26828
Google Ads,GDN_Retargeting,06/26/19,56,37265
